,FY 2024-25,Q1,Q2,Q3,Q4,Total
Total observation,401,70,135.999999,120,59,785.9999989999999
Remediated and Validated,397.7916666666667,48.5,78.999999,44.5,0,569.7916656666666
Remediated and Pending validation,3.208333333333333,20.5,46,48,18,135.70833333333331
"Remediated and Pending validation, LARS not updated",0,0,0,0,0,0
Not Due,0,1,3,4.5,20,28.5
Date not updated in LARS,0,0,0,0,0,0
Near Due,0,0,0,0,14,14
Overdue,0,0,8,23,7,38
